color_code,red,green,blue,name,family,cellular,roller,panel_track,sheer,drapery,valance_cornice,soft_roman,insulating_blinds,filename,composite_filename
695,189,165,142,FAWN,Tan,1,1,1,1,1,1,1,1,,
696,174,142,112,BIRCHWOOD,Brown,1,1,1,0,1,1,1,1,,
697,166,134,109,HIKER'S TRAIL,Brown,1,1,1,0,1,1,1,1,,
698,137,110,93,DESERT CLAY,Brown,1,1,1,0,1,1,1,1,,
699,183,161,141,SWEET TEA,Tan,1,1,1,1,1,1,1,1,,
700,175,147,126,SANDALWOOD,Brown,1,1,1,0,1,1,1,1,,
701,159,129,111,OREGON TRAIL,Brown,1,1,1,0,1,1,1,1,,
702,197,183,175,MOCHA ICE,Tan,1,1,1,1,1,1,1,1,,
703,176,158,147,BAY BROWN,Brown,1,1,1,1,1,1,1,1,,
704,150,131,116,SORREL BROWN,Brown,1,1,1,0,1,1,1,1,,
705,139,118,105,FRENCH TRUFFLE,Brown,1,1,1,0,1,1,1,1,,
706,234,227,220,TROPICAL SAND,Off White,1,1,1,1,1,1,1,1,,
707,189,175,167,CAFÉ MOCHA,Tan,1,1,1,1,1,1,1,1,,
708,155,137,126,SAND PEBBLE,Brown,1,1,1,0,1,1,1,1,,
709,167,143,128,LIGHT TRUFFLE,Brown,1,1,1,0,1,1,1,1,,
710,193,173,168,FADING ROSE,Pink,1,1,1,1,1,1,1,1,,
711,160,135,130,RICH CLAY,"Taupe,Brown",1,1,1,0,1,1,1,1,,
712,96,86,78,COFFEE BEAN,Brown,1,1,1,0,1,1,1,1,,
713,226,218,215,CAMEO STONE,Pink,1,1,1,1,1,1,1,1,,
714,217,206,203,ROSE PEARL,Pink,1,1,1,1,1,1,1,1,,
715,185,170,167,BERRY CREAM,Pink,1,1,1,1,1,1,1,1,,
716,163,144,142,ROSETTA,Brown,1,1,1,0,1,1,1,1,,
717,133,114,108,WYNWOOD,Brown,1,1,1,0,1,1,1,1,,
718,229,222,220,VICTORIAN WHITE,Off White,1,1,1,1,1,1,1,1,,
719,218,210,209,MYSTIC CHARM,Pink,1,1,1,1,1,1,1,1,,
720,130,115,118,MULBERRY,"Taupe,Brown",1,1,1,0,1,1,1,1,,
721,216,200,199,BALLET SLIPPER,Pink,1,1,1,1,1,1,1,1,,
722,207,184,186,ROSE POTTERY,Pink,1,1,1,1,1,1,1,1,,
723,148,118,117,PLUMVILLE,Burgundy,1,1,1,0,1,1,1,1,,
724,132,96,96,SPANISH CHESTNUT,Burgundy,1,1,1,0,1,1,1,1,,
725,223,212,212,WILD ASTER,Pink,1,1,1,1,1,1,1,1,,
726,217,203,205,SONOMA CLAY,Pink,1,1,1,1,1,1,1,1,,
727,148,119,122,DARK MAUVE,Burgundy,1,1,1,0,1,1,1,1,,
728,132,103,106,POTPOURRI,Burgundy,1,1,1,0,1,1,1,1,,
