state,name,address
Bihar,Muzaffarpur Crompton,"Khanna Bhawan,,Chandralok Choke,"
Bihar,National Electric & Switch Gear,"Purani Zeromile Chowk,Sahbajpur, Bhikhanpur,"
Bihar,S.S.Trading & Company,"Shahi Market,Sitamarhi Road,Sahbajpur"
Bihar,Vaishali Enterprises,"Nand Vihar Colony,Data Baba Lane Mithanpura ,Mithanpura,"
Bihar,Vaishali Sales,"R\/3 Nand Vihar Colony,Data Baba Lane Mithanpura,"
Bihar,Vishwakarma Hardware & Sanitery,"Main Road,Saraiya Kothi,"
Bihar,Jai Mata Di Enterprises,"Ramchandrapur, Nala Road,Biharsharif,"
Bihar,Nalanda Home Appliances,"Post Office Road,Biharsharif,"
Bihar,Barnawal Communciation,"Sonarpatti Road Narkatiaganj Betiah, Paschhmi Champaran,Narkatiaganj,Betiah, Paschhmi Champaran"
Bihar,Shree Balajee Enterprises,"West Champaran,,Arya Samaj Mandir Road,"
Bihar,Jai Mata Di Enterprises,"Ramchandrapur, Nala Road,Biharsharif,"
Bihar,Nalanda Home Appliances,"Post Office Road,Biharsharif,"
Bihar,Barnawal Communciation,"Sonarpatti Road Narkatiaganj Betiah, Paschhmi Champaran,Narkatiaganj,Betiah, Paschhmi Champaran"
Bihar,Shree Balajee Enterprises,"West Champaran,,Arya Samaj Mandir Road,"
Bihar,Central Hardware & Sanitary Store,"Hospital Road,Nawada,"
Bihar,Vindhyavasini Electricals,"Purani Bazar, Nawada,Nawada,"
Bihar,Vindhyavasini Electricals,Purani Bazar Nawada
Bihar,Vindhyavasini Electricals,Purani Bazar Nawada
Bihar,21St Century Business Syndicate,"120 Ashiana Tower,Exibition Road,"
Bihar,Adharshree,"Harbansh Parwati Complex,Jamal Road,"
Bihar,Aditya Distributors,"2D, 2Nd Floor, Anad Tower,Exhibition Road,"
Bihar,Ajanta Battery,"Hussain Belal Complex 3Rd Floor C1, Dr Mahmmod Shah Lane Dariyapur, Arya Kumar Road,3Rd Floor C1, Dr Mahmmod Shah Lane,Dariyapur, Arya Kumar Road"
Bihar,Akash Enterprises,"103,Ambition Business Centre,Laxmi Parishar,Jamal Road,Patna,103,Ambition Business Centre"
Bihar,Aparna Agencies,"Pirmohani Kadamkuan ,Kadamkuan,"
Bihar,Bihar Oriental Stores Pvt.Ltd.Patna,"Exhibition Road,Near Windsor Hotel,"
Bihar,Bombay Hardware Store,"Exhibition Road,Patna,"
Bihar,Chetna,"Fraser Road Hotel Mayur Building ,Hotel Mayur Building,"
Bihar,Dadiji Enterprises,"Ground Floor Shashi Niketan,Vindhyavasani Lane Kadamkuan,"
Bihar,Digitech Media Solutions,"2H\/44,Mahatma Gandhi Nagar,Near Kanti Factory Road, Kankarbagh"
Bihar,Dilip Enterprises,"Laxmi Tower,Below-Canara Bank,Mithapur"
Bihar,Dream Enterprises,"G-1,Sipra Shubham Apartment,Tilak Marg,,"
Bihar,Electronic Terminal,"Sandalpur Road, Near Kumhrar Gumti, P.O. Bahadurpur ,Bahadurpur,"
Bihar,Excel Enterprises,"Hotel Fort, Station Road,Near Veena Cinema,"
Bihar,Riya Bulb Company,"Chailital,Patna,"
Bihar,Sai Electricals,"Opp Saipanchmandir Kankarbagh ,Kankarbagh,"
